수면시간,학교 활동시간,미디어&여가 활동시간
1010,0,270
150,0,180
240,0,0
240,420,0
240,420,0
260,90,240
270,370,20
270,390,110
280,460,50
290,380,40
290,400,30
300,370,0
300,0,340
310,460,20
320,370,40
330,410,120
330,390,160
330,360,120
330,450,80
330,350,140
330,410,0
330,340,30
340,0,170
340,430,10
340,370,30
340,370,30
340,510,20
340,400,100
340,400,0
340,390,100
350,300,50
350,350,0
350,0,110
350,0,50
350,0,110
350,350,0
350,380,30
350,420,20
350,630,0
350,640,0
360,370,210
360,420,0
360,470,0
360,0,310
360,300,100
360,430,30
360,480,80
360,430,0
360,230,0
360,360,30
360,230,40
360,390,0
360,410,160
360,420,30
360,420,160
360,460,30
360,430,100
360,460,20
370,440,50
370,410,0
370,240,220
370,0,130
370,350,210
370,410,0
370,360,70
370,430,0
370,0,60
370,390,80
370,400,80
370,410,0
380,380,0
380,670,0
380,250,130
380,420,30
380,410,0
380,0,620
380,370,60
380,350,100
380,380,0
380,380,20
380,380,50
380,0,210
380,360,160
380,0,450
380,0,300
380,370,30
380,380,80
380,440,90
380,460,50
380,480,40
390,310,30
390,340,0
390,340,20
390,290,80
390,390,0
390,0,160
390,0,260
390,0,270
390,390,60
390,430,60
390,440,30
390,470,0
390,0,210
390,280,190
390,370,70
390,400,0
390,590,0
390,0,110
390,230,180
390,280,130
390,380,20
390,390,20
390,410,70
390,340,0
390,370,80
390,370,30
390,0,0
390,310,40
390,370,50
390,410,70
390,520,0
400,0,260
400,130,80
400,340,160
400,440,0
400,470,80
400,480,90
400,290,0
400,0,240
400,0,170
400,390,60
400,400,100
400,350,0
400,350,0
400,350,30
400,320,30
400,340,20
400,0,60
400,0,330
400,320,60
400,370,60
400,350,0
400,390,10
400,400,100
400,410,80
400,420,230
400,0,0
400,0,60
400,0,150
400,0,70
400,380,80
400,420,0
400,430,100
400,440,0
400,0,160
400,110,50
400,400,40
400,410,50
400,420,0
400,610,0
400,180,160
400,300,10
400,330,40
400,350,0
400,380,30
410,220,50
410,290,30
410,350,120
410,390,190
410,420,120
410,420,0
410,470,10
410,490,70
410,0,220
410,270,100
410,300,60
410,330,10
410,330,40
410,480,0
410,340,150
410,410,20
410,250,40
410,280,130
410,430,0
410,0,260
410,240,110
410,390,0
410,390,30
410,420,0
410,430,40
410,360,40
410,400,30
410,410,80
410,410,60
410,0,140
410,210,40
410,350,30
410,390,0
410,400,20
410,470,0
410,510,200
410,0,110
410,200,80
410,340,0
410,340,110
410,360,130
410,370,10
410,380,30
410,390,0
410,390,40
410,400,70
410,400,360
410,410,90
410,420,0
410,420,0
410,450,110
410,0,150
410,250,140
410,320,0
410,340,0
410,360,0
410,380,50
410,430,0
410,440,0
410,480,0
420,0,120
420,220,290
420,0,60
420,0,70
420,240,350
420,260,40
420,350,160
420,380,80
420,430,0
420,450,40
420,0,80
420,0,30
420,420,10
420,420,0
420,470,110
420,0,0
420,330,60
420,340,40
420,340,0
420,380,90
420,400,100
420,400,40
420,220,0
420,230,290
420,360,10
420,460,50
420,0,50
420,280,150
420,360,10
420,310,80
420,0,100
420,350,0
420,420,30
420,0,200
420,370,0
420,370,140
420,400,90
420,420,0
420,460,0
420,0,120
420,0,120
420,0,220
420,0,150
420,360,40
420,360,30
420,360,0
420,400,0
420,420,0
420,420,30
420,430,210
420,0,100
420,290,20
420,320,0
420,320,100
420,340,100
420,350,20
420,360,40
420,360,20
420,370,110
420,380,20
420,390,0
420,430,60
420,450,0
420,510,0
420,610,0
420,0,90
420,0,50
420,180,160
420,250,130
420,320,160
420,320,80
420,340,0
420,340,0
420,380,90
420,380,30
420,380,140
420,390,190
420,400,90
420,420,0
420,0,480
420,0,270
420,0,370
420,0,330
420,180,0
420,320,10
420,330,10
420,360,160
420,370,90
420,380,0
420,390,0
420,400,80
420,410,0
420,420,190
420,430,0
420,440,50
430,0,130
430,350,90
430,350,0
430,380,0
430,400,80
430,440,0
430,460,50
430,500,0
430,0,250
430,300,90
430,370,0
430,0,130
430,0,120
430,0,90
430,340,80
430,320,80
430,0,60
430,330,60
430,470,0
430,170,160
430,300,110
430,360,60
430,390,30
430,390,60
430,0,110
430,0,90
430,0,550
430,200,220
430,230,40
430,260,40
430,300,290
430,340,100
430,390,0
430,410,140
430,420,0
430,260,60
430,270,180
430,300,180
430,310,0
430,310,40
430,340,50
430,340,0
430,360,70
430,370,0
430,380,30
430,400,130
430,400,30
430,400,0
430,410,0
430,420,50
430,430,0
430,430,0
430,450,50
430,0,580
430,0,200
430,0,440
430,240,90
430,290,90
430,320,90
430,330,10
430,340,90
430,340,200
430,340,0
430,350,100
430,360,10
430,380,10
430,380,0
430,420,150
430,470,0
430,470,0
430,0,120
430,0,20
430,0,150
430,190,0
430,240,40
430,250,70
430,300,60
430,310,120
430,320,20
430,330,30
430,330,80
430,340,0
430,340,80
430,350,60
430,350,0
430,380,60
430,380,60
430,410,0
430,420,90
430,430,160
430,0,340
430,0,70
430,260,70
430,310,0
430,320,20
430,330,20
430,340,80
430,350,0
430,350,170
430,350,150
430,350,50
430,380,10
430,390,100
430,390,60
430,400,0
430,400,50
430,470,60
440,0,480
440,340,0
440,350,150
440,360,30
440,370,60
440,390,80
440,390,30
440,400,60
440,410,0
440,440,80
440,540,0
440,0,260
440,160,80
440,220,200
440,290,230
440,330,140
440,340,20
440,340,20
440,350,240
440,410,60
440,410,100
440,450,40
440,470,0
440,480,130
440,540,0
440,340,60
440,0,170
440,390,100
440,460,60
440,390,0
440,110,0
440,420,10
440,0,280
440,0,460
440,380,20
440,400,130
440,430,60
440,320,60
440,320,0
440,340,0
440,370,0
440,370,70
440,420,110
440,460,40
440,520,30
440,280,70
440,290,0
440,340,70
440,370,60
440,370,110
440,380,140
440,380,60
440,380,30
440,390,40
440,420,80
440,430,90
440,0,290
440,270,170
440,270,70
440,270,40
440,280,30
440,290,20
440,290,20
440,330,150
440,340,140
440,340,120
440,380,150
440,390,40
440,390,110
440,400,60
440,400,10
440,410,0
440,410,0
440,430,0
440,430,20
440,480,0
440,0,450
440,280,60
440,290,80
440,310,30
440,310,20
440,330,40
440,330,100
440,350,0
440,380,0
440,390,150
440,390,50
440,390,50
440,390,0
440,400,0
440,410,30
440,410,40
440,430,40
440,450,50
440,460,0
440,0,80
440,0,60
440,0,430
440,0,100
440,210,140
440,250,50
440,330,120
440,360,160
440,370,50
440,380,50
440,410,0
440,410,30
440,420,0
440,420,0
440,450,80
450,0,390
450,0,0
450,250,40
450,300,40
450,310,0
450,320,140
450,330,80
450,330,30
450,400,60
450,410,0
450,420,0
450,0,250
450,210,10
450,310,60
450,340,30
450,380,90
450,400,140
450,410,30
450,0,110
450,320,0
450,470,60
450,340,40
450,310,0
450,0,0
450,310,80
450,340,10
450,410,0
450,150,110
450,280,0
450,320,0
450,330,70
450,350,30
450,370,100
450,370,100
450,390,0
450,390,50
450,400,10
450,400,0
450,410,40
450,450,130
450,460,50
450,0,170
450,0,30
450,250,70
450,320,0
450,340,130
450,360,50
450,370,60
450,380,20
450,390,0
450,400,0
450,290,150
450,320,0
450,340,100
450,340,0
450,370,0
450,370,40
450,390,0
450,390,70
450,410,60
450,420,0
450,430,50
450,440,0
450,450,0
450,480,40
450,280,30
450,300,30
450,310,0
450,330,100
450,360,240
450,370,100
450,380,0
450,390,160
450,390,30
450,410,80
450,240,120
450,260,30
450,310,120
450,320,40
450,340,0
450,350,130
450,350,20
450,350,50
450,370,100
450,410,0
450,430,0
450,450,40
450,450,0
450,460,30
460,0,0
460,0,0
460,0,330
460,0,270
460,0,480
460,330,110
460,340,90
460,350,0
460,360,0
460,360,0
460,380,80
460,390,0
460,390,50
460,400,90
460,410,100
460,410,110
460,450,0
460,480,0
460,0,300
460,300,100
460,300,30
460,340,0
460,380,50
460,390,80
460,400,90
460,0,70
460,210,80
460,340,20
460,350,0
460,380,40
460,410,140
460,420,30
460,0,0
460,330,0
460,370,130
460,410,0
460,490,0
460,0,320
460,300,0
460,0,240
460,200,150
460,300,10
460,410,0
460,120,0
460,210,280
460,290,30
460,300,140
460,360,0
460,360,0
460,0,30
460,0,330
460,330,170
460,370,150
460,390,0
460,410,0
460,410,20
460,0,0
460,0,210
460,0,280
460,0,350
460,330,0
460,360,0
460,360,40
460,360,0
460,390,60
460,420,90
460,450,20
460,480,60
460,520,0
460,580,0
460,0,630
460,0,320
460,0,290
460,150,50
460,310,110
460,310,0
460,320,20
460,320,30
460,330,50
460,350,0
460,370,210
460,370,40
460,370,100
460,380,30
460,380,0
460,390,70
460,390,30
460,390,30
460,400,0
460,0,340
460,0,100
460,0,120
460,0,410
460,0,120
460,300,0
460,330,40
460,330,180
460,340,60
460,360,0
460,360,0
460,370,0
460,370,0
460,370,70
460,390,30
460,410,40
460,420,0
460,90,80
460,0,340
460,110,140
460,310,0
460,320,190
460,340,20
460,340,0
460,350,0
460,350,0
460,370,80
460,370,40
460,380,0
460,390,90
460,390,30
460,390,0
460,400,0
460,400,30
460,410,30
460,410,90
460,430,0
460,450,150
470,0,190
470,0,10
470,0,110
470,290,100
470,290,100
470,320,110
470,330,120
470,340,0
470,350,40
470,350,80
470,360,0
470,360,20
470,380,20
470,400,0
470,430,70
470,480,0
470,0,220
470,0,40
470,280,0
470,350,160
470,370,0
470,440,20
470,0,210
470,230,60
470,230,100
470,300,110
470,330,100
470,340,110
470,0,300
470,0,190
470,350,0
470,390,180
470,400,30
470,0,330
470,0,0
470,330,0
