수면시간,학교활동 시간,미디어여가활동시간
1000+,0,270
0-200,0,180
201-400,0,0
201-400,420,0
201-400,420,0
201-400,90,240
201-400,370,20
201-400,390,110
201-400,460,50
201-400,380,40
201-400,400,30
201-400,370,0
201-400,0,340
201-400,460,20
201-400,370,40
201-400,410,120
201-400,390,160
201-400,360,120
201-400,450,80
201-400,350,140
201-400,410,0
201-400,340,30
201-400,0,170
201-400,430,10
201-400,370,30
201-400,370,30
201-400,510,20
201-400,400,100
201-400,400,0
201-400,390,100
201-400,300,50
201-400,350,0
201-400,0,110
201-400,0,50
201-400,0,110
201-400,350,0
201-400,380,30
201-400,420,20
201-400,630,0
201-400,640,0
201-400,370,210
201-400,420,0
201-400,470,0
201-400,0,310
201-400,300,100
201-400,430,30
201-400,480,80
201-400,430,0
201-400,230,0
201-400,360,30
201-400,230,40
201-400,390,0
201-400,410,160
201-400,420,30
201-400,420,160
201-400,460,30
201-400,430,100
201-400,460,20
201-400,440,50
201-400,410,0
201-400,240,220
201-400,0,130
201-400,350,210
201-400,410,0
201-400,360,70
201-400,430,0
201-400,0,60
201-400,390,80
201-400,400,80
201-400,410,0
201-400,380,0
201-400,670,0
201-400,250,130
201-400,420,30
201-400,410,0
201-400,0,620
201-400,370,60
201-400,350,100
201-400,380,0
201-400,380,20
201-400,380,50
201-400,0,210
201-400,360,160
201-400,0,450
201-400,0,300
201-400,370,30
201-400,380,80
201-400,440,90
201-400,460,50
201-400,480,40
201-400,310,30
201-400,340,0
201-400,340,20
201-400,290,80
201-400,390,0
201-400,0,160
201-400,0,260
201-400,0,270
201-400,390,60
201-400,430,60
201-400,440,30
201-400,470,0
201-400,0,210
201-400,280,190
201-400,370,70
201-400,400,0
201-400,590,0
201-400,0,110
201-400,230,180
201-400,280,130
201-400,380,20
201-400,390,20
201-400,410,70
201-400,340,0
201-400,370,80
201-400,370,30
201-400,0,0
201-400,310,40
201-400,370,50
201-400,410,70
201-400,520,0
201-400,0,260
201-400,130,80
201-400,340,160
201-400,440,0
201-400,470,80
201-400,480,90
201-400,290,0
201-400,0,240
201-400,0,170
201-400,390,60
201-400,400,100
201-400,350,0
201-400,350,0
201-400,350,30
201-400,320,30
201-400,340,20
201-400,0,60
201-400,0,330
201-400,320,60
201-400,370,60
201-400,350,0
201-400,390,10
201-400,400,100
201-400,410,80
201-400,420,230
201-400,0,0
201-400,0,60
201-400,0,150
201-400,0,70
201-400,380,80
201-400,420,0
201-400,430,100
201-400,440,0
201-400,0,160
201-400,110,50
201-400,400,40
201-400,410,50
201-400,420,0
201-400,610,0
201-400,180,160
201-400,300,10
201-400,330,40
201-400,350,0
201-400,380,30
401-600,220,50
401-600,290,30
401-600,350,120
401-600,390,190
401-600,420,120
401-600,420,0
401-600,470,10
401-600,490,70
401-600,0,220
401-600,270,100
